testset,testset_idx,n_samples,is_source,is_target,is_clean,true_acc,acc_st_true,acc_ta_true,acc_st_tdc,acc_ta_tdc,err_st_tdc,err_ta_tdc,acc_st_mm,acc_ta_mm,err_st_mm,err_ta_mm,mano_fro_norm,est_ATC,err_ATC,err_ta_ATC,est_ATC-NE,err_ATC-NE,err_ta_ATC-NE,est_AC,err_AC,err_ta_AC,est_DOC,err_DOC,err_ta_DOC,est_COT,err_COT,err_ta_COT
corr_source_zoom_blur_sev2,25,1700,True,False,False,0.7188235294117648,0.7188235294117648,0.8058823529411765,0.981426003594967,0.9814686218811227,0.26260247418320226,0.17558626893994622,0.9229150477251892,0.9231651696766787,0.20409151831342442,0.11728281673550223,0.8540264997578536,0.6276470422744751,0.09117648713728965,0.1782353106667014,0.6041176319122314,0.1147058974995333,0.20176472102894505,0.8838040232658386,0.16498049385407387,0.07792167032466213,0.8837972283363342,0.16497369892456948,0.07791487539515773,0.7657094180659234,0.04688588865415866,0.040172934875253086
corr_source_zoom_blur_sev3,26,1700,True,False,False,0.6311764705882353,0.6311764705882353,0.798235294117647,0.9783653846153846,0.9790990451998628,0.34718891402714924,0.18086375108221575,0.902056626611749,0.902056626611749,0.2708801560235137,0.10382133249410197,0.8201732142309834,0.5547058582305908,0.07647061235764452,0.24352943588705622,0.5347058773040771,0.09647059328415819,0.2635294168135699,0.8535733222961426,0.22239685170790724,0.055338028178495535,0.8535665273666382,0.22239005677840284,0.05533123324899114,0.6886588143971564,0.05748234380892103,0.10957647972049067
corr_source_zoom_blur_sev4,27,1700,True,False,False,0.5611764705882353,0.5611764705882353,0.778235294117647,0.9690721649484536,0.9710487639567652,0.40789569436021833,0.19281346983911818,0.8921133129964669,0.8945070875272233,0.3309368424082316,0.11627179340957627,0.7904755239970335,0.49352937936782837,0.06764709122040691,0.28470591474981866,0.4752941131591797,0.08588235742905559,0.30294118095846734,0.8324909210205078,0.27131445043227254,0.05425562690286079,0.8324841260910034,0.27130765550276814,0.05424883197335639,0.6291858446322347,0.06800937404399943,0.14904944948541232
corr_source_zoom_blur_sev5,28,1700,True,False,False,0.508235294117647,0.508235294117647,0.77,0.9646772228989038,0.9646772228989038,0.4564419287812568,0.19467722289890377,0.8785908312224534,0.8785908312224534,0.3703555371048064,0.10859083122245339,0.7640311486953898,0.4264705777168274,0.08176471640081961,0.3435294222831726,0.4041176438331604,0.10411765028448661,0.3658823561668396,0.8120689988136292,0.30383370469598214,0.04206899881362913,0.8120622038841248,0.30382690976647775,0.04206220388412474,0.57857793788106,0.07034264376341304,0.19142206211893997
corr_source_snow_sev1,29,1700,True,False,False,0.908235294117647,0.908235294117647,0.9176470588235294,0.990498812351544,0.9911288832899925,0.08226351823389699,0.07348182446646312,0.9739257668529369,0.9751335014245468,0.06569047273528983,0.05748644260101743,0.9397626771131831,0.8352940678596497,0.07294122625799737,0.08235299096387971,0.8252940773963928,0.08294121672125421,0.09235298142713655,0.9519540667533875,0.04371877263574042,0.03430700792985808,0.9519472718238831,0.04371197770623603,0.034300213000353685,0.9236608687379022,0.015425574620255178,0.006013809914372836
corr_source_snow_sev2,30,1700,True,False,False,0.7611764705882353,0.7611764705882353,0.8441176470588235,0.9678202792956891,0.9678941085250528,0.2066438087074538,0.12377646146622923,0.8776679964382288,0.8944385873379236,0.11649152584999345,0.05032094027910006,0.8589017695985925,0.6547058820724487,0.10647058851578661,0.1894117649863748,0.6388235092163086,0.12235296137192675,0.20529413784251493,0.8827501535415649,0.1215736829533296,0.03863250648274141,0.8827433586120605,0.1215668880238252,0.03862571155323702,0.8263107642148323,0.06513429362659695,0.017806882843991234
corr_source_snow_sev3,31,1700,True,False,False,0.7623529411764706,0.7623529411764706,0.8264705882352941,0.9602446483180427,0.9609257060622414,0.19789170714157212,0.1344551178269473,0.882515226759696,0.8985697254546828,0.12016228558322539,0.07209913721938876,0.860254518345553,0.6523529291152954,0.11000001206117516,0.17411765911999866,0.6458823084831238,0.11647063269334679,0.1805882797521703,0.8838880658149719,0.12153512463850136,0.057417477579677856,0.8838812708854675,0.12152832970899696,0.05741068265017346,0.8024194162368953,0.04006647506042471,0.02405117199839879
corr_source_snow_sev4,32,1700,True,False,False,0.6282352941176471,0.6282352941176471,0.7852941176470588,0.9473684210526316,0.9491371985649424,0.3191331269349845,0.16384308091788358,0.8008529660482537,0.850153971206455,0.17261767193060662,0.06485985355939616,0.7889311307549053,0.5158823132514954,0.11235298086615175,0.26941180439556345,0.49882352352142334,0.12941177059622377,0.28647059412563547,0.8236324787139893,0.19539718459634214,0.03833836106693045,0.8236256837844849,0.19539038966683775,0.038331566137426054,0.6970248401568891,0.06878954603924203,0.08826927749016966
corr_source_snow_sev5,33,1700,True,False,False,0.5964705882352941,0.5964705882352941,0.7547058823529412,0.9151244416081685,0.9167326255430163,0.31865385337287444,0.16202674319007504,0.7151901373811245,0.8122275933036885,0.11871954914583038,0.05752171095074732,0.7413058247569475,0.44823527336120605,0.14823531487408803,0.30647060899173517,0.4323529303073883,0.16411765792790578,0.3223529520455529,0.7820908427238464,0.18562025448855235,0.02738496037090521,0.782084047794342,0.18561345955904796,0.027378165441400815,0.6606920303961851,0.06422144216089098,0.09401385195675616
corr_source_defocus_blur_sev1,34,1700,True,False,False,0.9058823529411765,0.9058823529411765,0.91,0.9952718676122931,0.9952822771680317,0.08938951467111667,0.08528227716803172,0.9750311409127765,0.9757393626110124,0.06914878797160007,0.06573936261101232,0.9433790050726649,0.8417646884918213,0.06411766444935518,0.06823531150817874,0.8323529362678528,0.07352941667332369,0.07764706373214725,0.9554938673973083,0.04961151445613188,0.04549386739730832,0.955487072467804,0.04960471952662748,0.045487072467803924,0.932076812349048,0.026194459407871573,0.022076812349048014
