dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity13,seed_123,val_target,9.255841,0.525244,0.613302,0.594701,0.621642,0.038536,0.038835,0.075087
breeds,entity13,seed_123,val_target,9.346399,0.535346,0.605685,0.586959,0.613823,0.036834,0.037223,0.074042
breeds,entity13,seed_123,val_target,9.433622,0.545447,0.598262,0.579044,0.606068,0.035248,0.035469,0.072743
breeds,entity13,seed_123,val_target,9.523550,0.555548,0.590573,0.571307,0.598169,0.033389,0.033798,0.071683
breeds,entity13,seed_123,val_target,9.608884,0.565649,0.583186,0.563282,0.590158,0.031775,0.032177,0.070225
breeds,entity13,seed_123,val_target,9.696295,0.575751,0.575278,0.555181,0.582248,0.030175,0.030361,0.069306
breeds,entity13,seed_123,val_target,9.788507,0.585852,0.567249,0.547198,0.573832,0.028353,0.029067,0.068488
breeds,entity13,seed_123,val_target,9.878537,0.595953,0.559475,0.538700,0.565326,0.027078,0.027819,0.067335
breeds,entity13,seed_123,val_target,9.966726,0.606055,0.551664,0.530126,0.556820,0.025834,0.026509,0.066148
breeds,entity13,seed_123,val_target,10.063126,0.616156,0.543720,0.521574,0.548514,0.024496,0.024867,0.065062
breeds,entity13,seed_123,val_target,10.156118,0.626257,0.535545,0.513140,0.540006,0.022927,0.023407,0.064234
breeds,entity13,seed_123,val_target,10.250731,0.636359,0.527298,0.504657,0.531273,0.021338,0.022176,0.063453
breeds,entity13,seed_123,val_target,10.341782,0.646460,0.519051,0.495813,0.522414,0.020170,0.021053,0.062683
breeds,entity13,seed_123,val_target,10.439513,0.656561,0.510659,0.486998,0.513644,0.018891,0.019734,0.062051
breeds,entity13,seed_123,val_target,10.539432,0.666663,0.502509,0.477954,0.504656,0.017877,0.018662,0.061002
breeds,entity13,seed_123,val_target,10.635620,0.676758,0.494074,0.468929,0.495596,0.016780,0.017643,0.060342
breeds,entity13,seed_123,val_target,10.734742,0.686859,0.485705,0.459696,0.486506,0.015935,0.016597,0.059512
breeds,entity13,seed_123,val_target,10.833688,0.696961,0.477168,0.450551,0.477425,0.014889,0.015467,0.058915
breeds,entity13,seed_123,val_target,10.934037,0.707062,0.468811,0.441263,0.468167,0.014013,0.014562,0.057969
breeds,entity13,seed_123,val_target,11.035317,0.717163,0.460237,0.431986,0.458897,0.013057,0.013611,0.057289
breeds,entity13,seed_123,val_target,11.140832,0.727264,0.451566,0.422750,0.449612,0.011954,0.012619,0.056829
breeds,entity13,seed_123,val_target,11.247986,0.737366,0.442882,0.413177,0.440166,0.011408,0.011857,0.056168
breeds,entity13,seed_123,val_target,11.358615,0.747467,0.434235,0.403842,0.430881,0.010348,0.010716,0.055709
breeds,entity13,seed_123,val_target,11.470639,0.757568,0.425358,0.394378,0.421466,0.009464,0.009747,0.055430
breeds,entity13,seed_123,val_target,11.584828,0.767670,0.416711,0.384850,0.411890,0.008642,0.009040,0.054733
breeds,entity13,seed_123,val_target,11.702164,0.777771,0.407967,0.375256,0.402305,0.007893,0.008288,0.054180
breeds,entity13,seed_123,val_target,11.818103,0.787872,0.399102,0.365564,0.392615,0.007303,0.007713,0.053816
breeds,entity13,seed_123,val_target,11.941107,0.797974,0.390443,0.355883,0.382934,0.006629,0.007060,0.052980
