dataset,breeds_name,testset,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,nonliving26,val_target,0.363630,0.716581,0.740426,0.668144,0.019367,0.004946,0.196398
breeds,nonliving26,val_target,0.373720,0.714443,0.732305,0.658756,0.018107,0.004465,0.193219
breeds,nonliving26,val_target,0.383825,0.712681,0.723858,0.648859,0.017058,0.004369,0.189617
breeds,nonliving26,val_target,0.393931,0.711491,0.715200,0.639064,0.016149,0.004185,0.185410
breeds,nonliving26,val_target,0.404021,0.708870,0.706724,0.629214,0.015067,0.004054,0.182296
breeds,nonliving26,val_target,0.414127,0.706627,0.698086,0.619529,0.014075,0.003765,0.178731
breeds,nonliving26,val_target,0.424232,0.704744,0.689184,0.609758,0.013277,0.003541,0.174699
breeds,nonliving26,val_target,0.434322,0.702123,0.680236,0.599907,0.012504,0.003392,0.171223
breeds,nonliving26,val_target,0.444428,0.698916,0.671526,0.590197,0.011476,0.003098,0.168135
breeds,nonliving26,val_target,0.454533,0.695949,0.662664,0.580367,0.010548,0.002903,0.164711
breeds,nonliving26,val_target,0.464639,0.692289,0.653553,0.570476,0.009819,0.002758,0.161805
breeds,nonliving26,val_target,0.474729,0.689910,0.644467,0.560629,0.009051,0.002579,0.157575
breeds,nonliving26,val_target,0.484834,0.686732,0.635084,0.550730,0.008527,0.002430,0.153941
breeds,nonliving26,val_target,0.494940,0.683012,0.625723,0.540810,0.007962,0.002294,0.150668
breeds,nonliving26,val_target,0.505030,0.679217,0.616389,0.530804,0.007360,0.002257,0.147398
breeds,nonliving26,val_target,0.515136,0.675346,0.606888,0.520917,0.006890,0.002079,0.144060
breeds,nonliving26,val_target,0.525241,0.671386,0.597490,0.510991,0.006292,0.001933,0.140619
breeds,nonliving26,val_target,0.535331,0.667048,0.587770,0.501031,0.006030,0.001835,0.137492
breeds,nonliving26,val_target,0.545437,0.662274,0.578097,0.491105,0.005688,0.001678,0.134680
breeds,nonliving26,val_target,0.555542,0.657500,0.568664,0.481139,0.005061,0.001559,0.131777
breeds,nonliving26,val_target,0.565648,0.652184,0.559153,0.471131,0.004494,0.001484,0.129321
breeds,nonliving26,val_target,0.575738,0.646883,0.549356,0.461099,0.004255,0.001451,0.126762
breeds,nonliving26,val_target,0.585843,0.641687,0.539652,0.451140,0.003874,0.001309,0.123927
breeds,nonliving26,val_target,0.595949,0.636099,0.529868,0.441099,0.003574,0.001263,0.121436
breeds,nonliving26,val_target,0.606039,0.631340,0.520068,0.431133,0.003297,0.001136,0.117780
breeds,nonliving26,val_target,0.616145,0.626024,0.510390,0.421123,0.002827,0.001042,0.114642
breeds,nonliving26,val_target,0.626250,0.619895,0.500474,0.411125,0.002649,0.000927,0.112341
breeds,nonliving26,val_target,0.636340,0.613810,0.490742,0.401053,0.002231,0.000927,0.110021
breeds,nonliving26,val_target,0.646446,0.607982,0.480872,0.391004,0.001961,0.000874,0.107131
breeds,nonliving26,val_target,0.656551,0.602033,0.470885,0.380977,0.001847,0.000786,0.104209
breeds,nonliving26,val_target,0.666657,0.595602,0.460961,0.370909,0.001630,0.000753,0.101861
breeds,nonliving26,val_target,0.676747,0.589307,0.450904,0.360834,0.001630,0.000753,0.099189
breeds,nonliving26,val_target,0.686852,0.582967,0.440946,0.350767,0.001447,0.000716,0.096260
